,Iteration,Day,Iteration total cost,Cash flow
0,0,0,-1468,-1468
1,0,1,-2936,-1468
2,0,2,-4404,-1468
3,0,3,-5872,-1468
4,0,4,-7340,-1468
5,0,5,-8808,-1468
6,0,6,-10276,-1468
7,0,7,-11744,-1468
8,0,8,-13212,-1468
9,0,9,-14680,-1468
10,0,10,-16148,-1468
11,0,11,-17616,-1468
12,0,12,-19084,-1468
13,0,13,-20552,-1468
14,0,14,-22020,-1468
15,0,15,-23488,-1468
16,0,16,-24956,-1468
17,0,17,-26424,-1468
18,0,18,-27892,-1468
19,0,19,-29360,-1468
20,0,20,-30828,-1468
21,0,21,-32296,-1468
22,0,22,-33764,-1468
23,0,23,-35232,-1468
24,0,24,-36700,-1468
25,0,25,-38168,-1468
26,0,26,-39636,-1468
27,0,27,-41104,-1468
28,0,28,-42572,-1468
29,0,29,-44040,-1468
30,0,30,-45508,-1468
31,0,31,-46976,-1468
32,0,32,-48444,-1468
33,0,33,-49912,-1468
34,0,34,-51380,-1468
35,0,35,-52848,-1468
36,0,36,-54316,-1468
37,0,37,-55784,-1468
38,0,38,-57252,-1468
39,0,39,-58720,-1468
40,0,40,-60188,-1468
41,0,41,-61656,-1468
42,0,42,-63124,-1468
43,0,43,-64592,-1468
44,0,44,-66060,-1468
45,0,45,-67528,-1468
46,0,46,-68996,-1468
47,0,47,-70464,-1468
48,0,48,-71932,-1468
49,0,49,-73400,-1468
50,0,50,-74868,-1468
51,0,51,-76336,-1468
52,0,52,-77804,-1468
53,0,53,-79272,-1468
54,0,54,-80740,-1468
55,0,55,-82208,-1468
56,0,56,-83676,-1468
57,0,57,-85144,-1468
58,0,58,-86612,-1468
59,0,59,-88080,-1468
60,0,60,-89548,-1468
61,0,61,-91016,-1468
62,0,62,-92484,-1468
63,0,63,-93952,-1468
64,0,64,-95420,-1468
65,0,65,-96888,-1468
66,0,66,-98356,-1468
67,0,67,-99824,-1468
68,0,68,-101292,-1468
69,0,69,-102760,-1468
70,0,70,-104228,-1468
71,0,71,-105696,-1468
72,0,72,-107164,-1468
73,0,73,-108632,-1468
74,0,74,-110100,-1468
75,0,75,-111568,-1468
76,0,76,-113036,-1468
77,0,77,-114504,-1468
78,0,78,-115972,-1468
79,0,79,-117440,-1468
80,0,80,-118908,-1468
81,0,81,-120376,-1468
82,0,82,-121844,-1468
83,0,83,-123312,-1468
84,0,84,-124780,-1468
85,0,85,-126248,-1468
86,0,86,-127716,-1468
87,0,87,-129184,-1468
88,0,88,-130652,-1468
89,0,89,-132120,-1468
90,0,90,-133588,-1468
91,0,91,-135056,-1468
92,0,92,-136524,-1468
93,0,93,-137992,-1468
94,0,94,-139460,-1468
95,0,95,-140928,-1468
96,0,96,-142396,-1468
97,0,97,-143864,-1468
98,0,98,-145332,-1468
99,0,99,-146800,-1468
100,0,100,-148268,-1468
101,0,101,-149736,-1468
102,0,102,-151204,-1468
103,0,103,-152672,-1468
104,0,104,-154140,-1468
105,0,105,-155608,-1468
106,0,106,-157076,-1468
107,0,107,-158544,-1468
108,0,108,-160012,-1468
109,0,109,-161480,-1468
110,0,110,-162948,-1468
111,0,111,-164416,-1468
112,0,112,-165884,-1468
113,0,113,-167352,-1468
114,0,114,-168820,-1468
115,0,115,-170288,-1468
116,0,116,-171756,-1468
117,0,117,-173224,-1468
118,0,118,-174692,-1468
119,0,119,-176160,-1468
120,0,120,-177628,-1468
121,0,121,-179096,-1468
122,0,122,-180564,-1468
123,0,123,-182032,-1468
124,0,124,-183500,-1468
125,0,125,-184968,-1468
126,0,126,-186436,-1468
127,0,127,-187904,-1468
128,0,128,-189372,-1468
129,0,129,-190840,-1468
130,0,130,-192308,-1468
131,0,131,-193776,-1468
132,0,132,-195244,-1468
133,0,133,-196712,-1468
134,0,134,-198180,-1468
135,0,135,-199648,-1468
136,0,136,-201116,-1468
137,0,137,-202584,-1468
138,0,138,-204052,-1468
139,0,139,-205520,-1468
140,0,140,-206988,-1468
141,0,141,-208456,-1468
142,0,142,-209924,-1468
143,0,143,-211392,-1468
144,0,144,-212860,-1468
145,0,145,-214328,-1468
146,0,146,-215796,-1468
147,0,147,-217264,-1468
148,0,148,-218732,-1468
149,0,149,-220200,-1468
150,0,150,-221668,-1468
151,0,151,-223136,-1468
152,0,152,-224604,-1468
153,0,153,-226072,-1468
154,0,154,-227540,-1468
155,0,155,-229008,-1468
156,0,156,-230476,-1468
157,0,157,-231944,-1468
158,0,158,-233412,-1468
159,0,159,-234880,-1468
160,0,160,-236348,-1468
161,0,161,-237816,-1468
162,0,162,-239284,-1468
163,0,163,-240752,-1468
164,0,164,-242220,-1468
165,0,165,-243688,-1468
166,0,166,-245156,-1468
167,0,167,-246624,-1468
168,0,168,-248092,-1468
169,0,169,-249560,-1468
170,0,170,-251028,-1468
171,0,171,-252496,-1468
172,0,172,-253964,-1468
173,0,173,-255432,-1468
174,0,174,-256900,-1468
175,0,175,-258368,-1468
176,0,176,-259836,-1468
177,0,177,-261304,-1468
178,0,178,-262772,-1468
179,0,179,-264240,-1468
180,0,180,-265708,-1468
181,0,181,-267176,-1468
182,0,182,-268644,-1468
183,0,183,-270112,-1468
184,0,184,-271580,-1468
185,0,185,-273048,-1468
186,0,186,-274516,-1468
187,0,187,-275984,-1468
188,0,188,-277452,-1468
189,0,189,-278920,-1468
190,0,190,-280388,-1468
191,0,191,-281856,-1468
192,0,192,-283324,-1468
193,0,193,-284792,-1468
194,0,194,-286260,-1468
195,0,195,-287728,-1468
196,0,196,-289196,-1468
197,0,197,-290664,-1468
198,0,198,-292132,-1468
199,0,199,-293600,-1468
200,0,200,-295068,-1468
201,0,201,-296536,-1468
202,0,202,-298004,-1468
203,0,203,-299472,-1468
204,0,204,-300940,-1468
205,0,205,-302408,-1468
206,0,206,-303876,-1468
207,0,207,-305344,-1468
208,0,208,-306812,-1468
209,0,209,-308280,-1468
210,0,210,-309748,-1468
211,0,211,-311216,-1468
212,0,212,-312684,-1468
213,0,213,-314152,-1468
214,0,214,-315620,-1468
215,0,215,-317088,-1468
216,0,216,-318556,-1468
217,0,217,-320024,-1468
218,0,218,-321492,-1468
219,0,219,-322960,-1468
220,0,220,-324428,-1468
221,0,221,-325896,-1468
222,0,222,-327364,-1468
223,0,223,-328832,-1468
224,0,224,-330300,-1468
225,0,225,-331768,-1468
226,0,226,-333236,-1468
227,0,227,-334704,-1468
228,0,228,-336172,-1468
229,0,229,-337640,-1468
230,0,230,-339108,-1468
231,0,231,-340576,-1468
232,0,232,-342044,-1468
233,0,233,-343512,-1468
234,0,234,-344980,-1468
235,0,235,-346448,-1468
236,0,236,-347916,-1468
237,0,237,-349384,-1468
238,0,238,-350852,-1468
239,0,239,-352320,-1468
240,0,240,-353788,-1468
241,0,241,-355256,-1468
242,0,242,-356724,-1468
