,IterationName,IterationID,TotalCost,DevelopmentProgress
0,MC1,0,-2603360,Market_success
1,MC1,1,2331976,Market_success
2,MC1,2,-2411853,Market_success
3,MC1,3,-840716,Market_success
4,MC1,4,-3203482,Market_success
5,MC1,5,-1074350,Phase1_failure
6,MC1,6,-826360,Preclinical_failure
7,MC1,7,-277400,Preclinical_failure
8,MC1,8,-6492272,Phase2_failure
9,MC1,9,-284788,Market_success
10,MC1,10,-3030871,Market_success
11,MC1,11,-4005919,Market_success
12,MC1,12,-1568429,Market_success
13,MC1,13,-6636776,Phase2_failure
14,MC1,14,-926465,Phase1_failure
15,MC1,15,-9666652,Phase2_failure
16,MC1,16,846933,Market_success
17,MC1,17,-1193320,Phase1_failure
18,MC1,18,-523517,Phase1_failure
19,MC1,19,-5340421,Phase2_failure
20,MC1,20,-4718767,Market_success
21,MC1,21,-3689562,Market_success
22,MC1,22,857316,Market_success
23,MC1,23,-1661234,Phase1_failure
24,MC1,24,-8535377,Phase2_failure
25,MC1,25,-4856419,Market_success
26,MC1,26,953028,Market_success
27,MC1,27,-1216881,Market_success
28,MC1,28,-5272305,Phase2_failure
29,MC1,29,-5509660,Phase2_failure
30,MC1,30,3142861,Market_success
31,MC1,31,390602,Market_success
32,MC1,32,-5288535,Phase2_failure
33,MC1,33,834288,Market_success
34,MC1,34,-1061420,Preclinical_failure
35,MC1,35,-4261576,Phase2_failure
36,MC1,36,-5658952,Phase2_failure
37,MC1,37,-1603968,Phase1_failure
38,MC1,38,160243,Market_success
39,MC1,39,-5879972,Phase2_failure
40,MC1,40,-965092,Market_success
41,MC1,41,-1825775,Market_success
42,MC1,42,45128,Market_success
43,MC1,43,-2002362,Market_success
44,MC1,44,-6651311,Phase2_failure
45,MC1,45,-689850,Preclinical_failure
46,MC1,46,1577607,Market_success
47,MC1,47,-2064840,Market_success
48,MC1,48,-6521226,Phase2_failure
49,MC1,49,-50257,Market_success
